City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,95.61,63,13,5.01,few clouds
1,Qaanaaq,GL,77.484,-69.3632,45.55,55,0,3.89,clear sky
2,Rikitea,PF,-23.1203,-134.9692,74.79,77,19,12.19,few clouds
3,Castro,BR,-24.7911,-50.0119,57.87,98,100,3.42,overcast clouds
4,Chiang Rai,TH,19.9167,99.9167,79.12,98,40,2.3,moderate rain
5,Gamba,GA,-2.65,10.0,70.03,93,70,4.43,broken clouds
6,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.23,40,19,1.32,few clouds
7,Sorong,ID,-0.8833,131.25,76.73,87,94,4.29,light rain
8,Pauini,BR,-7.7136,-66.9764,83.88,62,90,1.95,overcast clouds
9,Milove,UA,49.3787,40.1302,55.94,77,0,6.67,clear sky
10,Nyurba,RU,63.2842,118.3319,61.63,85,84,5.35,broken clouds
11,Hobart,AU,-42.8794,147.3294,43.27,83,75,5.75,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,53.8,83,100,4.25,overcast clouds
13,Atuona,PF,-9.8,-139.0333,77.29,70,40,16.26,scattered clouds
14,Sunnyside,US,46.3237,-120.0087,82.67,34,0,4.61,clear sky
15,Petatlan,MX,17.5167,-101.2667,88.77,56,100,6.35,overcast clouds
16,Risor,NO,58.7206,9.2342,62.29,57,100,14.32,overcast clouds
17,Albany,US,42.6001,-73.9662,78.46,85,100,1.01,overcast clouds
18,Busselton,AU,-33.65,115.3333,50.77,85,0,7.85,clear sky
19,Bluff,NZ,-46.6,168.3333,42.8,76,100,16.28,overcast clouds
20,Almaznyy,RU,48.0448,40.045,59.43,50,0,9.95,clear sky
21,Bethel,US,41.3712,-73.414,78.03,93,100,1.01,overcast clouds
22,Binzhou,CN,37.3667,118.0167,72.16,87,57,3.67,broken clouds
23,Jackson,US,42.4165,-122.8345,89.74,33,0,1.99,clear sky
24,Marquette,US,46.5333,-87.6335,87.78,70,7,8.28,clear sky
25,Tomaszow Mazowiecki,PL,51.5313,20.0086,68.56,46,45,4.0,scattered clouds
26,Kavaratti,IN,10.5669,72.642,79.95,81,100,22.12,overcast clouds
27,Lompoc,US,34.6391,-120.4579,92.01,52,18,6.31,few clouds
28,Yellowknife,CA,62.456,-114.3525,70.32,56,40,10.36,scattered clouds
29,Volchikha,RU,52.0333,80.3833,55.13,80,3,5.64,clear sky
30,Ulladulla,AU,-35.35,150.4667,44.24,76,68,11.43,broken clouds
31,Bambous Virieux,MU,-20.3428,57.7575,69.22,73,75,18.41,light rain
32,Mangrol,IN,21.1167,70.1167,80.69,83,99,14.23,overcast clouds
33,Port Alfred,ZA,-33.5906,26.891,65.62,55,81,7.81,broken clouds
34,Bandarbeyla,SO,9.4942,50.8122,75.78,81,74,35.21,broken clouds
35,Hithadhoo,MV,-0.6,73.0833,81.36,76,100,10.0,overcast clouds
36,Riyadh,SA,24.6877,46.7219,96.94,12,43,6.55,scattered clouds
37,Afrikanda,RU,67.4429,32.7828,53.89,89,89,9.53,light rain
38,Kapaa,US,22.0752,-159.319,82.72,80,100,18.41,overcast clouds
39,Chokurdakh,RU,70.6333,147.9167,42.67,71,75,12.71,broken clouds
40,Port Augusta,AU,-32.5,137.7667,39.29,79,4,3.09,clear sky
41,Kodinsk,RU,58.6881,99.1844,50.11,97,51,3.56,broken clouds
42,Sai Buri,TH,6.7013,101.6168,78.85,87,99,4.29,overcast clouds
43,Yar-Sale,RU,66.8333,70.8333,56.89,66,77,7.85,broken clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,97,4.0,overcast clouds
45,Olafsvik,IS,64.8945,-23.7142,53.49,76,99,5.21,overcast clouds
