City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lata,PT,2022-07-13 21:10:12,40.1629,-8.3327,82.08,31,86,4.76
1,Punta Arenas,CL,2022-07-13 21:08:50,-53.15,-70.9167,37.51,81,75,18.41
2,Tifton,US,2022-07-13 21:10:12,31.4505,-83.5085,85.28,78,100,5.75
3,Albany,US,2022-07-13 21:08:39,42.6001,-73.9662,84.79,45,68,5.12
4,Cabedelo,BR,2022-07-13 21:10:12,-6.9811,-34.8339,77.67,78,64,15.66
5,Norman Wells,CA,2022-07-13 21:10:13,65.282,-126.8329,57.51,90,100,7.09
6,Aswan,EG,2022-07-13 21:10:13,24.0934,32.907,90.32,17,23,16.44
7,Rikitea,PF,2022-07-13 21:10:13,-23.1203,-134.9692,73.09,78,86,7.9
8,San Cristobal,VE,2022-07-13 21:10:14,7.7669,-72.225,82.58,47,58,6.26
9,Jamestown,US,2022-07-13 21:10:14,42.097,-79.2353,76.01,54,75,8.05
10,Maragogi,BR,2022-07-13 21:10:14,-9.0122,-35.2225,75.99,77,56,10.09
11,Villarrica,PY,2022-07-13 21:10:15,-25.75,-56.4333,61.86,78,92,3.4
12,Mataura,NZ,2022-07-13 21:10:15,-46.1927,168.8643,41.49,98,100,3.98
13,Faanui,PF,2022-07-13 21:10:15,-16.4833,-151.75,78.19,74,13,19.19
14,Barrow,US,2022-07-13 21:10:16,71.2906,-156.7887,40.55,71,83,7.43
15,Lagoa,PT,2022-07-13 21:10:16,39.05,-27.9833,68.74,93,55,15.52
16,Beringovskiy,RU,2022-07-13 21:10:16,63.05,179.3167,51.06,86,100,7.94
17,Georgetown,MY,2022-07-13 21:10:17,5.4112,100.3354,80.53,89,20,3.44
18,Salalah,OM,2022-07-13 21:10:17,17.0151,54.0924,78.33,84,100,6.17
19,Bowen,AU,2022-07-13 21:06:36,-20.0167,148.2333,51.58,62,0,6.22
20,Vaini,TO,2022-07-13 21:10:17,-21.2,-175.2,76.68,88,2,22.64
21,Sao Felix Do Xingu,BR,2022-07-13 21:06:31,-6.6447,-51.995,86.0,39,77,0.76
22,Kaitangata,NZ,2022-07-13 21:09:14,-46.2817,169.8464,43.88,90,100,7.99
23,Airai,TL,2022-07-13 21:10:18,-8.9266,125.4092,52.07,88,47,3.27
24,Codrington,AU,2022-07-13 21:10:18,-38.2667,141.9667,44.74,87,61,6.2
25,Sao Filipe,CV,2022-07-13 21:10:19,14.8961,-24.4956,75.27,78,62,11.43
26,Sulangan,PH,2022-07-13 21:10:19,11.1373,123.7228,82.99,77,77,5.75
27,Port Alfred,ZA,2022-07-13 21:10:19,-33.5906,26.891,56.86,81,0,10.38
28,Ushuaia,AR,2022-07-13 21:09:42,-54.8,-68.3,35.26,64,75,5.75
29,Butaritari,KI,2022-07-13 21:10:20,3.0707,172.7902,82.65,76,88,16.87
30,Leningradskiy,RU,2022-07-13 21:10:20,69.3833,178.4167,40.5,71,93,8.72
31,Hilo,US,2022-07-13 21:10:20,19.7297,-155.09,80.33,91,100,11.5
32,Yellowknife,CA,2022-07-13 21:10:21,62.456,-114.3525,67.26,49,79,13.47
33,Bredasdorp,ZA,2022-07-13 21:10:21,-34.5322,20.0403,59.31,71,100,18.79
34,Saint-Joseph,RE,2022-07-13 21:10:21,-21.3667,55.6167,68.38,72,27,10.47
35,Bluff,NZ,2022-07-13 21:10:22,-46.6,168.3333,41.81,79,100,10.96
36,Qaanaaq,GL,2022-07-13 21:10:22,77.484,-69.3632,38.77,96,100,6.24
37,Sarti,GR,2022-07-13 21:10:22,40.1,23.9833,73.78,55,0,8.12
38,Muisne,EC,2022-07-13 21:10:23,0.6,-80.0333,76.03,84,95,13.35
39,Matagami,CA,2022-07-13 21:10:23,49.7502,-77.6328,65.7,51,100,6.42
40,Jasper,US,2022-07-13 21:10:14,37.2001,-94.3502,97.11,26,0,9.22
41,Portland,US,2022-07-13 21:07:15,45.5234,-122.6762,81.5,52,20,11.5
42,Obra,IN,2022-07-13 21:10:24,24.4167,82.9833,85.37,66,10,9.33
43,Severo-Kurilsk,RU,2022-07-13 21:11:24,50.6789,156.125,53.76,96,99,1.92
44,Saint George,US,2022-07-13 21:11:24,37.1041,-113.5841,107.44,17,0,5.99
45,Bambous Virieux,MU,2022-07-13 21:10:51,-20.3428,57.7575,66.22,80,73,15.37
46,Huarmey,PE,2022-07-13 21:11:25,-10.0681,-78.1522,66.43,71,13,10.96
47,Darab,IR,2022-07-13 21:11:25,28.7519,54.5444,83.16,12,0,15.19
